ID,longitude,latitude,date_time,b,t
2001-2013,5.42569,52.9208541,5/9/2013 18:31,2,5/9/2013 18:31
2001-2013,5.4255982,52.9207985,5/9/2013 18:41,-1,5/9/2013 18:41
2001-2013,5.4234878,52.9209297,5/9/2013 18:51,-1,5/9/2013 18:51
2001-2013,5.4235594,52.9208734,5/9/2013 19:01,-1,5/9/2013 19:01
2001-2013,5.4235438,52.9209037,5/9/2013 19:11,-1,5/9/2013 19:11
2001-2013,5.4234913,52.9208989,5/9/2013 19:21,-1,5/9/2013 19:21
2001-2013,5.4235195,52.9209648,5/9/2013 19:31,-1,5/9/2013 19:31
2001-2013,5.4238282,52.9209741,5/9/2013 19:41,-1,5/9/2013 19:41
2001-2013,5.4264675,52.9212651,5/9/2013 19:50,2,5/9/2013 19:50
2001-2013,5.4262599,52.9212893,5/9/2013 20:00,2,5/9/2013 20:00
2001-2013,5.4261711,52.9212755,5/9/2013 20:10,2,5/9/2013 20:10
2001-2013,5.4260342,52.9212145,5/9/2013 20:20,2,5/9/2013 20:20
2001-2013,5.4260452,52.9212071,5/9/2013 20:30,2,5/9/2013 20:30
2001-2013,5.4260595,52.9211049,5/9/2013 20:41,2,5/9/2013 20:41
2001-2013,5.4260351,52.9211346,5/9/2013 20:50,2,5/9/2013 20:50
2001-2013,5.4261028,52.9211081,5/9/2013 21:00,2,5/9/2013 21:00
2001-2013,5.4255656,52.9211682,5/9/2013 21:10,2,5/9/2013 21:10
2001-2013,5.4255757,52.9211805,5/9/2013 21:20,2,5/9/2013 21:20
2001-2013,5.4255863,52.9211685,5/9/2013 21:30,2,5/9/2013 21:30
2001-2013,5.4255819,52.9211484,5/9/2013 21:40,2,5/9/2013 21:40
2001-2013,5.4255904,52.921155,5/9/2013 21:50,2,5/9/2013 21:50
2001-2013,5.425583,52.9211484,5/9/2013 22:00,2,5/9/2013 22:00
2001-2013,5.4255666,52.9211626,5/9/2013 22:11,2,5/9/2013 22:11
2001-2013,5.4255962,52.9211539,5/9/2013 22:21,2,5/9/2013 22:21
2001-2013,5.4256405,52.9211717,5/9/2013 22:30,2,5/9/2013 22:30
2001-2013,5.4255939,52.9211832,5/9/2013 22:40,2,5/9/2013 22:40
2001-2013,5.4255839,52.9211881,5/9/2013 22:50,2,5/9/2013 22:50
2001-2013,5.4255686,52.9211912,5/9/2013 23:00,2,5/9/2013 23:00
2001-2013,5.4255685,52.9211448,5/9/2013 23:10,2,5/9/2013 23:10
2001-2013,5.4255884,52.9211729,5/9/2013 23:20,2,5/9/2013 23:20
2001-2013,5.4255728,52.9212283,5/9/2013 23:30,2,5/9/2013 23:30
2001-2013,5.4255943,52.9211522,5/9/2013 23:39,2,5/9/2013 23:39
2001-2013,5.4255761,52.9212157,5/9/2013 23:49,2,5/9/2013 23:49
2001-2013,5.4255974,52.9212367,5/9/2013 23:59,2,5/9/2013 23:59
2001-2013,5.4255918,52.9211979,5/10/2013 0:10,2,5/10/2013 0:10
2001-2013,5.4256218,52.9211275,5/10/2013 0:19,2,5/10/2013 0:19
2001-2013,5.4256111,52.9211292,5/10/2013 0:29,2,5/10/2013 0:29
2001-2013,5.4256053,52.9211669,5/10/2013 0:39,2,5/10/2013 0:39
2001-2013,5.4256026,52.9211708,5/10/2013 0:49,2,5/10/2013 0:49
2001-2013,5.4256109,52.9211694,5/10/2013 0:59,2,5/10/2013 0:59
2001-2013,5.425613,52.92117,5/10/2013 1:09,2,5/10/2013 1:09
2001-2013,5.4255756,52.9211926,5/10/2013 1:19,2,5/10/2013 1:19
2001-2013,5.4256193,52.9211799,5/10/2013 1:28,2,5/10/2013 1:28
2001-2013,5.4255864,52.9211829,5/10/2013 1:38,2,5/10/2013 1:38
2001-2013,5.4255838,52.921191,5/10/2013 1:48,2,5/10/2013 1:48
2001-2013,5.4255943,52.9211991,5/10/2013 1:58,2,5/10/2013 1:58
2001-2013,5.425527,52.9212582,5/10/2013 2:08,2,5/10/2013 2:08
2001-2013,5.4255261,52.9212114,5/10/2013 2:18,2,5/10/2013 2:18
2001-2013,5.425521,52.9212581,5/10/2013 2:28,2,5/10/2013 2:28
2001-2013,5.4255527,52.9212313,5/10/2013 2:38,2,5/10/2013 2:38
2001-2013,5.426034,52.9211733,5/10/2013 2:47,2,5/10/2013 2:47
2001-2013,5.42599,52.9211468,5/10/2013 2:57,2,5/10/2013 2:57
2001-2013,5.4261473,52.9211449,5/10/2013 3:07,2,5/10/2013 3:07
2001-2013,5.4260878,52.9211642,5/10/2013 3:17,2,5/10/2013 3:17
2001-2013,5.426122,52.9211261,5/10/2013 3:27,2,5/10/2013 3:27
2001-2013,5.425995,52.9211054,5/10/2013 3:39,2,5/10/2013 3:39
2001-2013,5.4259716,52.9211377,5/10/2013 3:49,2,5/10/2013 3:49
2001-2013,5.4257792,52.9210551,5/10/2013 3:59,2,5/10/2013 3:59
2001-2013,5.4248229,52.9201558,5/10/2013 4:09,1,5/10/2013 4:09
2001-2013,5.4248461,52.9201492,5/10/2013 4:19,1,5/10/2013 4:19
2001-2013,5.4247986,52.9201603,5/10/2013 4:28,1,5/10/2013 4:28
2001-2013,5.4247749,52.9201753,5/10/2013 4:39,1,5/10/2013 4:39
2001-2013,5.4247994,52.9201737,5/10/2013 4:48,1,5/10/2013 4:48
2001-2013,5.4239606,52.920262,5/10/2013 4:58,1,5/10/2013 4:58
2001-2013,5.4240342,52.9202661,5/10/2013 5:08,1,5/10/2013 5:08
2001-2013,5.424878,52.9201599,5/10/2013 5:18,1,5/10/2013 5:18
2001-2013,5.4248278,52.9201587,5/10/2013 5:28,1,5/10/2013 5:28
2001-2013,5.4249,52.9201293,5/10/2013 5:38,1,5/10/2013 5:38
2001-2013,5.4248964,52.9201491,5/10/2013 5:48,1,5/10/2013 5:48
2001-2013,5.4248316,52.9201471,5/10/2013 5:58,1,5/10/2013 5:58
2001-2013,5.4249205,52.9201203,5/10/2013 6:08,1,5/10/2013 6:08
2001-2013,5.4249233,52.9201131,5/10/2013 6:18,1,5/10/2013 6:18
2001-2013,5.4249293,52.9201482,5/10/2013 6:28,1,5/10/2013 6:28
2001-2013,5.4249449,52.9201221,5/10/2013 6:38,1,5/10/2013 6:38
2001-2013,5.4249565,52.9201196,5/10/2013 6:48,1,5/10/2013 6:48
2001-2013,5.4249309,52.9201164,5/10/2013 6:58,1,5/10/2013 6:58
2001-2013,5.4249586,52.9201093,5/10/2013 7:07,1,5/10/2013 7:07
2001-2013,5.424954,52.9201223,5/10/2013 7:17,1,5/10/2013 7:17
2001-2013,5.4249748,52.9201216,5/10/2013 7:27,1,5/10/2013 7:27
2001-2013,5.4250073,52.9201043,5/10/2013 7:37,1,5/10/2013 7:37
2001-2013,5.4250195,52.9201285,5/10/2013 7:47,1,5/10/2013 7:47
2001-2013,5.4249699,52.9201376,5/10/2013 7:57,1,5/10/2013 7:57
2001-2013,5.4250599,52.9201233,5/10/2013 8:07,1,5/10/2013 8:07
2001-2013,5.4250294,52.9201441,5/10/2013 8:16,1,5/10/2013 8:16
2001-2013,5.424961,52.9201402,5/10/2013 8:27,1,5/10/2013 8:27
2001-2013,5.4249529,52.920113,5/10/2013 8:36,1,5/10/2013 8:36
2001-2013,5.424924,52.9201219,5/10/2013 8:46,1,5/10/2013 8:46
2001-2013,5.4249717,52.9201026,5/10/2013 8:56,1,5/10/2013 8:56
2001-2013,5.4249209,52.9201118,5/10/2013 9:06,1,5/10/2013 9:06
2001-2013,5.4249342,52.9201456,5/10/2013 9:16,1,5/10/2013 9:16
2001-2013,5.4249044,52.9201498,5/10/2013 9:26,1,5/10/2013 9:26
2001-2013,5.4248681,52.9201408,5/10/2013 9:36,1,5/10/2013 9:36
2001-2013,5.4248906,52.9201416,5/10/2013 9:46,1,5/10/2013 9:46
2001-2013,5.4249267,52.9201488,5/10/2013 9:55,1,5/10/2013 9:55
2001-2013,5.4249746,52.9201279,5/10/2013 10:06,1,5/10/2013 10:06
2001-2013,5.4250341,52.9201054,5/10/2013 10:16,1,5/10/2013 10:16
2001-2013,5.4249915,52.920101,5/10/2013 10:26,1,5/10/2013 10:26
2001-2013,5.4249921,52.920095,5/10/2013 10:36,1,5/10/2013 10:36
